pattern,translation,tags,parents,output
*/VV/*+었/EP/*+는가/EF/*,~ed?
*/VV/*+었었/EP/*+어요/EF/*,~ed (long ago)
*/VV/*+었었/EP/*+다/EF/*,~ed (long ago)
*/VV/*+나/EF/*,~?
*/VV/*+기/ETN/*+도/JX/*,~ing also
*/VV/*+거든/EF/*,because ~ (just so you know)
*/VV/*+겠/EP/*+거든/EF/*,because (guessing; will) ~ (just so you know)
*/VA/*+거든/EF/*,because ~ (just so you know)
*/VA/*+었/EP/*+거든/EF/*,because was ~ (just so you know)
*/NN/*+이/VCP/*+었/EP/*+거든요/EF/*,because was ~ (just so you know)
*/VV/*+었었/EP/*+거든요/EF/*,"~ed (long ago) (just so you know)"
*/VV/*+었었/EP/*+거든/EF/*,"~ed (long ago) (just so you know)"
*/VV/*+ㄹ/ETM/*+거/NNB/*+이/VCP/*+라고/EC/*,said that will ~
*/VA/*+었/EP/*+을/ETM/*,would be ~
*/VA/*+었/EP/*+어/EF/*,was ~
*/VA/*+ㄴ다/EF/*,~
*/NP/*+처럼/JKB/*,like ~
*/NP/*+이/VCP/*+라고/EC/*,said that is ~; called ~
*/NP/*+이/VCP/*+라고/EF/*,said that is ~; called ~
*/NP/*+부터/JX/*,starting from ~
*/NP/*+ㄴ/JX/*,~
*/NN/*+이/VCP/*+었/EP/*+을/ETM/*,would be ~
*/NN/*+이/VCP/*+었/EP/*+습니까/EF/*,was ~?
*/NN/*+이/VCP/*+ㄴ데/EC/*,"is ~, but..."
*/NP/*+이/VCP/*+ㄴ데/EC/*,"is ~, but..."
*/NN/*+이/VCP/*+ㄴ데/EF/*,"is ~, but..."
*/NP/*+이/VCP/*+ㄴ데/EF/*,"is ~, but..."
*/MAG/*+부터/JX/*,starting from ~
*/MAG/*+도/JX/*,~ also
*/VV/*+였/EP/*+고/EC/*,~ed and
*/VV/*+여요/EF/*,~
*/VV/*+었/EP/*+을/ETM/*,would ~
*/VV/*+었/EP/*+는데/EC/*,"~ed, but..."
*/VV/*+었/EP/*+네요/EF/*,~ed!
*/VV/*+던/ETM/*,used to ~
*/VV/*+니까/EC/*,"~ (as you know), so...; ~, so do..."
*/VV/*+겠/EP/*+습니까/EF/*,will ~?
*/VV/*+겠/EP/*+다/EF/*,will ~; guessing that ~
*/VV/*+거나/EC/*,~ or
*/VV/*+었/EP/*+거나/EC/*,~ed or
*/NN/*+이/VCP/*+거나/EC/*,"is ~, or..."
*/NP/*+이/VCP/*+거나/EC/*,"is ~, or..."
*/VA/*+지/EC/*+도/JX/*,not even ~
*/VA/*+여/EC/*,~
*/VA/*+었/EP/*+지만/EC/*,"was ~, but..."
*/VA/*+었/EP/*+는가/EF/*,was ~?
*/VA/*+었/EP/*+나요/EF/*,was ~?
*/VA/*+었었/EP/*+습니다/EF/*,was ~ (long ago)
*/VA/*+었었/EP/*+어요/EF/*,was ~ (long ago)
*/VA/*+었었/EP/*+나요/EF/*,was ~ (long ago)?
*/VA/*+었/EP/*+면/EC/*,if/when was ~
*/VA/*+었/EP/*+는데/EC/*,"was ~, but..."
*/VA/*+군요/EF/*,I realize that ~!
*/VV/*+군요/EF/*,I realize that ~!
*/VA/*+겠/EP/*+습니다/EF/*,will ~; guessing that ~
*/VA/*+겠/EP/*+네요/EF/*,will ~!; guessing that ~!
*/VA/*+ㅕ/EC/*+요/EF/*,~
*/VA/*+ㄴ가요/EF/*,~?
*/VV/*+ㄴ가요/EF/*,~?
*/VA/*+ㄴ/ETM/*+가요/NNG/*,~?
*/NR/*+시/NNBC/*+가/JKC/*,~ o'clock
*/NP/*+이/VCP/*+다/EF/*,is ~
*/NP/*+이/VCP/*+냐/EF/*,is ~?
으냐/EF/*,,,,냐/EF/*
*/VV/*+냐/EF/*,~?
*/VV/*+냐/EC/*,~?
*/VA/*+냐/EF/*,~?
*/VA/*+냐/EC/*,~?
*/VV/*+었/EP/*+냐/EF/*,~ed?
